True_vx,Pred_vx,Error_vx,True_vy,Pred_vy,Error_vy,True_omega,Pred_omega,Error_omega
0.004845586,0.028694022,0.023848437,-0.027982626,-0.018694833,0.009287793,0.0011192734,-0.013412057,-0.014531331
-0.011985912,0.035223164,0.047209077,-0.037696585,-0.035339236,0.0023573488,0.00068829354,-0.013739473,-0.014427767
-0.0043249163,0.021087488,0.025412405,-0.053314384,-0.04747522,0.0058391653,-0.0020157986,-0.00651369,-0.0044978913
-0.027962543,0.037333306,0.065295845,-0.085011885,-0.059495978,0.025515907,-0.0041105403,-0.0146889975,-0.010578457
-0.03099928,0.026531098,0.05753038,-0.14200208,-0.09318381,0.048818268,-0.004303669,-0.029591432,-0.025287762
-0.037315488,0.041372545,0.07868803,-0.17129476,-0.14672412,0.024570644,-0.007710047,-0.02871917,-0.021009123
-0.012181892,0.033348057,0.04552995,-0.18392615,-0.16547416,0.018451989,-0.01605003,-0.02614721,-0.01009718
-0.01089432,0.042713344,0.053607665,-0.19116583,-0.17255956,0.018606275,-0.0207872,-0.0320663,-0.011279101
0.0030689393,0.042641636,0.039572697,-0.19646895,-0.17599261,0.020476341,-0.019631492,-0.040228184,-0.020596692
-0.007586315,0.052609403,0.060195718,-0.19990769,-0.18024951,0.019658178,-0.016519532,-0.041277908,-0.024758376
-0.0014574821,0.043806776,0.04526426,-0.1955131,-0.18148503,0.014028072,-0.014478955,-0.038707845,-0.02422889
-0.008069093,0.050177816,0.05824691,-0.19685902,-0.1773563,0.019502714,-0.015355327,-0.03448936,-0.019134033
-4.3592874e-05,0.05018224,0.05022583,-0.19856502,-0.1787224,0.019842625,-0.01750002,-0.034430794,-0.016930774
-0.0017791833,0.05250664,0.054285824,-0.1941089,-0.1796534,0.014455497,-0.018116716,-0.035164304,-0.017047588
-0.008769772,0.046832558,0.05560233,-0.19896585,-0.17881988,0.020145968,-0.018287582,-0.038512357,-0.020224774
0.0009786193,0.04285339,0.04187477,-0.19312021,-0.18082029,0.012299925,-0.016907075,-0.039190445,-0.02228337
0.00069809007,0.051019125,0.050321035,-0.19207785,-0.1772778,0.014800042,-0.01624734,-0.037024688,-0.020777348
0.0048908186,0.05308148,0.04819066,-0.19412516,-0.17666528,0.017459884,-0.016197432,-0.035731733,-0.019534301
-0.0010597217,0.052575808,0.05363553,-0.19159438,-0.17635533,0.015239045,-0.016415045,-0.03549892,-0.019083876
0.015249382,0.048544377,0.033294994,-0.19327062,-0.17553107,0.01773955,-0.016999042,-0.036122587,-0.019123545
0.0060142917,0.058746282,0.05273199,-0.1892306,-0.17693023,0.012300372,-0.016509246,-0.03625355,-0.019744303
-0.0014407854,0.054497946,0.055938732,-0.19283506,-0.17517407,0.01766099,-0.016593916,-0.03699802,-0.020404102
-0.00353153,0.048718516,0.052250046,-0.19081435,-0.17822032,0.012594029,-0.016348355,-0.037342004,-0.02099365
-0.0015644277,0.04929176,0.050856188,-0.19284646,-0.1765492,0.016297266,-0.016455898,-0.036635313,-0.020179415
-0.003685217,0.049120944,0.05280616,-0.19095187,-0.17751333,0.013438538,-0.016578218,-0.036524523,-0.019946305
0.0066818004,0.047574744,0.040892944,-0.19468515,-0.17616563,0.01851952,-0.01699173,-0.03672531,-0.019733578
-0.0058763023,0.05252932,0.058405623,-0.21369934,-0.17951141,0.034187928,-0.018677557,-0.03769865,-0.019021092
0.011974306,0.043975886,0.03200158,-0.26658252,-0.20868206,0.05790046,-0.022775074,-0.041367095,-0.01859202
-0.01921755,0.063382044,0.082599595,-0.30109894,-0.26136217,0.039736778,-0.026763087,-0.04328255,-0.016519463
-2.167699e-05,0.03956064,0.039582316,-0.34653187,-0.30350217,0.043029696,-0.031704195,-0.049569067,-0.017864872
-0.0096832095,0.04557664,0.05525985,-0.37366602,-0.33041996,0.04324606,-0.03558568,-0.051210254,-0.015624575
-0.0034309844,0.03647022,0.039901204,-0.4175452,-0.36634055,0.05120465,-0.041864295,-0.05559079,-0.013726495
-0.0039307657,0.023829507,0.027760273,-0.4708897,-0.41840714,0.052482545,-0.05078819,-0.06379884,-0.013010647
-0.013545095,0.024779014,0.03832411,-0.5086668,-0.48910308,0.019563735,-0.06056255,-0.07143546,-0.010872908
0.002888855,0.02040184,0.017512985,-0.54027486,-0.5230093,0.017265558,-0.06638914,-0.084578626,-0.018189482
0.0018979018,0.04060349,0.038705587,-0.55290407,-0.5607026,-0.0077985525,-0.06490652,-0.09127249,-0.026365966
0.0020149988,0.04479286,0.042777862,-0.562152,-0.57259136,-0.010439336,-0.058149092,-0.09012871,-0.03197962
0.0105216475,0.039000783,0.028479137,-0.56813246,-0.57875264,-0.010620177,-0.053315297,-0.083786756,-0.030471459
0.0023822528,0.042641237,0.040258985,-0.56862086,-0.5807373,-0.012116432,-0.05314055,-0.07781382,-0.024673268
0.0028860536,0.033138566,0.030252513,-0.5647884,-0.5813996,-0.016611218,-0.05540926,-0.077941746,-0.022532485
0.0059234207,0.033968784,0.028045364,-0.5679718,-0.5788816,-0.010909796,-0.059688445,-0.080018684,-0.02033024
0.00843227,0.03621474,0.02778247,-0.56765443,-0.58103615,-0.01338172,-0.06118425,-0.08448054,-0.02329629
0.00822051,0.039807774,0.031587265,-0.56750596,-0.5786343,-0.011128366,-0.05961433,-0.086482644,-0.026868314
0.012549044,0.038693134,0.026144091,-0.5482134,-0.57935697,-0.031143546,-0.056043815,-0.085156366,-0.029112551
-0.00025622873,0.045040924,0.045297153,-0.49407044,-0.5315078,-0.03743735,-0.048639983,-0.08330769,-0.034667708
-0.0042875367,0.02631601,0.030603547,-0.5023976,-0.49122298,0.011174619,-0.04668239,-0.07123756,-0.024555165
-0.024779782,0.02721349,0.051993273,-0.513484,-0.5025753,0.010908723,-0.0335675,-0.0731751,-0.039607603
-0.007873732,0.026562575,0.034436308,-0.5085377,-0.50805146,0.0004862547,-0.021243758,-0.06179062,-0.04054686
